Timestamp,1. How often do you shop online?  ,2. What is your age group?  ,"3. Which platform do you prefer for buying electronics (e.g., phones, laptops, gadgets)?  ",4. Where do you usually shop for fashion and apparel?,5.  Which platform do you prefer for beauty and skincare products?  ,6. Where do you typically buy groceries and household essentials?  ,7. What is the most important factor for you when choosing a platform to shop from?  ,8. Do you trust the product reviews and ratings on these platforms?  ,9. Which platform’s return and refund policy do you find the best?  
21/10/2024 22:22:09,Monthly,18-24,Flipkart,Amazon,Myntra,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Myntra
21/10/2024 22:22:17,Never,18-24,Amazon,Ajio,Myntra,Zepto,Product Quality,Neutral,Amazon
21/10/2024 22:22:38,Monthly,25-34,Flipkart,Flipkart,Myntra,Zepto,Return/Refund Policy,Neutral,Amazon
21/10/2024 22:22:38,Monthly,25-34,Amazon,Flipkart,Myntra,Flipkart Supermart,Availability of Offers and Coupons,"Yes, completely trust them",Myntra
21/10/2024 22:22:46,Rarely (once or twice a year),18-24,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Platform Trust and Security,Neutral,I don’t use return/refund services
21/10/2024 22:23:16,Occasionally (once every few months),35-44,Flipkart,Myntra,Amazon,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Nykaa
21/10/2024 22:23:18,Daily,25-34,None / I don’t buy electronics online,H&M,Myntra,JioMart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 22:23:33,weekly,25-34,Flipkart,Myntra,Flipkart,Zepto,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:23:42,weekly,25-34,Croma,Amazon,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Flipkart
21/10/2024 22:23:47,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Nykaa
21/10/2024 22:24:12,weekly,45-54,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 22:24:15,Daily,18-24,Amazon,H&M,Nykaa,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 22:24:16,Rarely (once or twice a year),25-34,Croma,Ajio,Myntra,Zepto,Product Quality,Somewhat don’t trust them,Ajio
21/10/2024 22:24:20,weekly,18-24,Amazon,Ajio,Nykaa,Zepto,Product Quality,"Yes, completely trust them",I don’t use return/refund services
21/10/2024 22:24:23,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,Somewhat trust them,Nykaa
21/10/2024 22:24:33,weekly,Under 18,Reliance Digital,H&M,Purplle,Flipkart Supermart,Platform Trust and Security,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:24:40,Monthly,35-44,Reliance Digital,Myntra,Flipkart,Blinkit,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 22:24:40,Monthly,25-34,None / I don’t buy electronics online,None / I don’t buy fashion items online,Myntra,JioMart,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 22:24:59,Monthly,Under 18,Flipkart,Myntra,Amazon,Flipkart Supermart,Return/Refund Policy,"Yes, completely trust them",Myntra
21/10/2024 22:25:01,Rarely (once or twice a year),55 and above,Reliance Digital,H&M,Myntra,None / I don’t buy fashion items online,Availability of Offers and Coupons,Don’t trust them at all,Nykaa
21/10/2024 22:25:13,Daily,35-44,Flipkart,Flipkart,Amazon,Flipkart Supermart,Product Quality,Somewhat trust them,Myntra
21/10/2024 22:25:18,Occasionally (once every few months),35-44,Croma,None / I don’t buy fashion items online,Purplle,None / I don’t buy fashion items online,Return/Refund Policy,Somewhat don’t trust them,Ajio
21/10/2024 22:25:20,Monthly,35-44,Reliance Digital,Zara,Flipkart,Zepto,Product Variety,Don’t trust them at all,Amazon
21/10/2024 22:25:35,Occasionally (once every few months),45-54,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Availability of Offers and Coupons,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:25:50,Occasionally (once every few months),18-24,Amazon,Ajio,Myntra,Blinkit,Price and Discounts,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:25:50,Daily,35-44,Amazon,Myntra,Amazon,JioMart,Return/Refund Policy,Somewhat trust them,Flipkart
21/10/2024 22:25:53,weekly,45-54,Amazon,Zara,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,"Yes, completely trust them",I don’t use return/refund services
21/10/2024 22:26:25,Daily,35-44,Amazon,Myntra,Flipkart,Zepto,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:27:17,Monthly,35-44,Reliance Digital,Myntra,Flipkart,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:28:18,Monthly,35-44,Croma,Myntra,Nykaa,Zepto,Product Quality,Somewhat trust them,Flipkart
21/10/2024 22:28:28,Occasionally (once every few months),18-24,Amazon,Flipkart,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 22:28:45,Monthly,35-44,Flipkart,Ajio,Flipkart,Zepto,Product Quality,Neutral,Myntra
21/10/2024 22:29:15,Monthly,25-34,Amazon,Ajio,Myntra,Blinkit,Product Quality,Somewhat trust them,Myntra
21/10/2024 22:29:24,Occasionally (once every few months),Under 18,Flipkart,Amazon,Amazon,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
21/10/2024 22:29:37,Occasionally (once every few months),Under 18,Amazon,Myntra,None / I don’t buy fashion items online,I buy it from market because i live in kashmir,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 22:29:50,Monthly,45-54,Flipkart,Ajio,Purplle,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 22:30:42,Daily,35-44,Reliance Digital,Ajio,Flipkart,Zepto,Price and Discounts,Somewhat trust them,Nykaa
21/10/2024 22:31:12,Daily,35-44,Flipkart,Ajio,Flipkart,Flipkart Supermart,Return/Refund Policy,Somewhat don’t trust them,Flipkart
21/10/2024 22:31:38,weekly,35-44,Croma,Zara,Myntra,Blinkit,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 22:32:05,Monthly,35-44,Reliance Digital,Zara,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Myntra
21/10/2024 22:32:28,Monthly,35-44,Flipkart,Ajio,Flipkart,Zepto,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 22:32:37,Occasionally (once every few months),45-54,Flipkart,Flipkart,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 22:32:53,weekly,25-34,Reliance Digital,Amazon,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 22:33:14,Daily,45-54,Flipkart,H&M,None / I don’t buy fashion items online,JioMart,Platform Trust and Security,Somewhat trust them,Flipkart
21/10/2024 22:33:41,Monthly,35-44,Amazon,Ajio,Myntra,Zepto,Return/Refund Policy,Somewhat trust them,Nykaa
21/10/2024 22:33:45,Occasionally (once every few months),45-54,Flipkart,Amazon,Flipkart,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Flipkart
21/10/2024 22:34:22,Monthly,45-54,Flipkart,Ajio,Flipkart,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,Flipkart
21/10/2024 22:35:01,weekly,18-24,Amazon,Myntra,Myntra,JioMart,i wil look for everything above in any platform,Don’t trust them at all,Amazon
21/10/2024 22:35:04,Occasionally (once every few months),35-44,Flipkart,Flipkart,Flipkart,Flipkart Supermart,Price and Discounts,Neutral,Flipkart
21/10/2024 22:35:08,Daily,25-34,Croma,Amazon,Amazon,JioMart,Product Variety,Somewhat don’t trust them,Nykaa
21/10/2024 22:35:40,Monthly,18-24,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 22:35:52,Occasionally (once every few months),35-44,Reliance Digital,H&M,Amazon,Blinkit,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 22:36:08,Occasionally (once every few months),35-44,Amazon,Flipkart,Purplle,JioMart,Return/Refund Policy,Somewhat trust them,Nykaa
21/10/2024 22:36:21,Monthly,35-44,Reliance Digital,Ajio,Amazon,Flipkart Supermart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
21/10/2024 22:36:58,Monthly,55 and above,Croma,Ajio,Myntra,Zepto,Price and Discounts,"Yes, completely trust them",Ajio
21/10/2024 22:36:59,weekly,25-34,Reliance Digital,Amazon,Purplle,Zepto,Return/Refund Policy,Neutral,Nykaa
21/10/2024 22:37:21,Monthly,35-44,Croma,Ajio,Nykaa,Blinkit,Return/Refund Policy,Neutral,Myntra
21/10/2024 22:37:50,Monthly,45-54,None / I don’t buy electronics online,Myntra,Myntra,JioMart,Product Variety,Somewhat don’t trust them,Amazon
21/10/2024 22:37:51,Occasionally (once every few months),45-54,Reliance Digital,Flipkart,Amazon,Blinkit,Product Quality,Somewhat don’t trust them,Ajio
21/10/2024 22:38:00,Monthly,25-34,Amazon,Amazon,Purplle,JioMart,Product Quality,Don’t trust them at all,Myntra
21/10/2024 22:38:13,Monthly,18-24,Flipkart,Amazon,Nykaa,Flipkart Supermart,Return/Refund Policy,Neutral,Flipkart
21/10/2024 22:38:25,weekly,45-54,Flipkart,Amazon,Flipkart,Zepto,Platform Trust and Security,Somewhat trust them,Myntra
21/10/2024 22:38:40,Rarely (once or twice a year),35-44,Reliance Digital,Zara,Amazon,Flipkart Supermart,Return/Refund Policy,Neutral,Flipkart
21/10/2024 22:38:47,Daily,35-44,Reliance Digital,Flipkart,Myntra,JioMart,Platform Trust and Security,Neutral,Myntra
21/10/2024 22:38:56,Occasionally (once every few months),45-54,Croma,H&M,Amazon,Flipkart Supermart,Product Quality,Neutral,Ajio
21/10/2024 22:39:11,weekly,25-34,Amazon,Myntra,Nykaa,JioMart,Return/Refund Policy,Neutral,Myntra
21/10/2024 22:39:33,Rarely (once or twice a year),35-44,Amazon,Amazon,None / I don’t buy fashion items online,JioMart,Return/Refund Policy,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:39:38,Daily,25-34,Croma,Amazon,Myntra,Zepto,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 22:40:06,weekly,25-34,Reliance Digital,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Return/Refund Policy,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 22:40:28,Daily,18-24,Amazon,Zara,Myntra,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 22:41:33,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Amazon,Amazon,Zepto,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 22:46:23,Monthly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Ajio
21/10/2024 22:46:51,Monthly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Nykaa
21/10/2024 22:47:09,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Platform Trust and Security,"Yes, completely trust them",Ajio
21/10/2024 22:47:30,Monthly,18-24,Flipkart,Ajio,Myntra,Flipkart Supermart,Availability of Offers and Coupons,"Yes, completely trust them",Myntra
21/10/2024 22:48:02,weekly,18-24,Flipkart,Ajio,Myntra,None / I don’t buy fashion items online,Availability of Offers and Coupons,"Yes, completely trust them",Nykaa
21/10/2024 22:49:30,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:49:40,Monthly,18-24,Amazon,H&M,None / I don’t buy fashion items online,Blinkit,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
21/10/2024 22:49:53,Monthly,25-34,Amazon,Ajio,Nykaa,Zepto,Product Variety,Somewhat don’t trust them,Amazon
21/10/2024 22:50:50,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Return/Refund Policy,Neutral,I don’t use return/refund services
21/10/2024 22:54:19,weekly,18-24,Amazon,H&M,Nykaa,JioMart,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 22:55:54,weekly,18-24,Amazon,Myntra,Purplle,Blinkit,Product Variety,Somewhat don’t trust them,Myntra
21/10/2024 22:56:20,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Its,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Myntra
21/10/2024 22:59:27,Monthly,18-24,Amazon,"Urbanic, newme",Amazon,JioMart,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 23:00:12,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 23:01:17,Monthly,18-24,Amazon,Amazon,Nykaa,JioMart,Return/Refund Policy,Neutral,Amazon
21/10/2024 23:03:07,Monthly,18-24,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Product Variety,Somewhat trust them,Amazon
21/10/2024 23:03:21,weekly,18-24,Flipkart,H&M,Nykaa,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 23:03:43,weekly,18-24,Amazon,Myntra,Nykaa,Zepto,Availability of Offers and Coupons,Neutral,Ajio
21/10/2024 23:04:05,Daily,18-24,Amazon,Myntra,Myntra,Blinkit,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 23:04:25,weekly,18-24,Flipkart,Flipkart,Nykaa,Blinkit,Return/Refund Policy,"Yes, completely trust them",Flipkart
21/10/2024 23:05:48,weekly,18-24,Amazon,None / I don’t buy fashion items online,Amazon,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 23:13:39,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Return/Refund Policy,Neutral,Myntra
21/10/2024 23:14:15,weekly,18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 23:14:59,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,Neutral,Amazon
21/10/2024 23:16:35,Monthly,18-24,Amazon,Ajio,Nykaa,Zepto,Product Quality,Somewhat trust them,Nykaa
21/10/2024 23:17:00,Rarely (once or twice a year),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Platform Trust and Security,Somewhat don’t trust them,I don’t use return/refund services
21/10/2024 23:17:17,weekly,18-24,Flipkart,Myntra,Nykaa,Flipkart Supermart,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 23:18:31,weekly,18-24,Flipkart,H&M,Nykaa,Flipkart Supermart,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 23:19:32,Occasionally (once every few months),18-24,Amazon,H&M,Flipkart,Zepto,Product Variety,Somewhat trust them,I don’t use return/refund services
21/10/2024 23:20:48,Occasionally (once every few months),18-24,Amazon,Myntra,Amazon,None / I don’t buy fashion items online,Return/Refund Policy,Neutral,Amazon
21/10/2024 23:25:03,weekly,18-24,Amazon,Myntra,Nykaa,Zepto,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 23:31:01,weekly,35-44,Amazon,Myntra,Nykaa,JioMart,Product Variety,Neutral,Nykaa
21/10/2024 23:39:39,Monthly,18-24,Reliance Digital,Zara,Purplle,Zepto,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
21/10/2024 23:40:20,Occasionally (once every few months),18-24,Amazon,Myntra,Myntra,Flipkart Supermart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 23:40:45,Occasionally (once every few months),25-34,Amazon,Myntra,None / I don’t buy fashion items online,JioMart,Price and Discounts,Neutral,I don’t use return/refund services
21/10/2024 23:40:58,Occasionally (once every few months),Under 18,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 23:41:11,Monthly,18-24,None / I don’t buy electronics online,Flipkart,Myntra,Zepto,Product Quality,Somewhat don’t trust them,Myntra
21/10/2024 23:41:32,Monthly,18-24,Flipkart,Myntra,Nykaa,Blinkit,Product Quality,Neutral,I don’t use return/refund services
21/10/2024 23:42:12,Monthly,18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Neutral,I don’t use return/refund services
21/10/2024 23:42:53,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Neutral,Myntra
21/10/2024 23:47:16,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 23:54:48,Daily,18-24,Amazon,Amazon,Myntra,JioMart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 23:57:18,Monthly,18-24,Reliance Digital,H&M,Nykaa,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 23:58:02,Occasionally (once every few months),25-34,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,Neutral,Amazon
21/10/2024 23:58:20,Monthly,18-24,Amazon,Flipkart,Myntra,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Flipkart
21/10/2024 23:58:28,Occasionally (once every few months),Under 18,None / I don’t buy electronics online,H&M,Amazon,food panda,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 23:58:34,weekly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 23:58:48,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 23:59:03,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Availability of Offers and Coupons,Neutral,I don’t use return/refund services
21/10/2024 23:59:24,Monthly,18-24,Amazon,Ajio,Nykaa,Zepto,Availability of Offers and Coupons,Neutral,I don’t use return/refund services
21/10/2024 23:59:53,Monthly,18-24,Amazon,Myntra,Myntra,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 00:00:17,Rarely (once or twice a year),18-24,Reliance Digital,None / I don’t buy fashion items online,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 00:01:15,Monthly,18-24,Amazon,Amazon,Amazon,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
22/10/2024 00:08:37,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 00:09:57,Occasionally (once every few months),Under 18,Flipkart,H&M,Myntra,Blinkit,Return/Refund Policy,Neutral,Flipkart
22/10/2024 00:12:52,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
22/10/2024 00:23:03,Monthly,18-24,Amazon,H&M,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Myntra
22/10/2024 00:25:58,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Myntra
22/10/2024 00:52:25,Occasionally (once every few months),18-24,None / I don’t buy electronics online,H&M,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Myntra
22/10/2024 00:58:23,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Swiggy instamart,Platform Trust and Security,Somewhat trust them,Myntra
22/10/2024 01:00:38,weekly,18-24,Amazon,Myntra,Nykaa,Zepto,Price and Discounts,Somewhat trust them,Myntra
22/10/2024 01:01:10,weekly,18-24,Reliance Digital,Ajio,Nykaa,Flipkart Supermart,Return/Refund Policy,Somewhat trust them,Amazon
22/10/2024 01:01:40,Monthly,25-34,Reliance Digital,Flipkart,Flipkart,Zepto,Product Quality,Somewhat trust them,Myntra
22/10/2024 01:02:14,weekly,35-44,Reliance Digital,Flipkart,Flipkart,Zepto,Product Quality,Somewhat trust them,Flipkart
22/10/2024 01:03:12,Rarely (once or twice a year),18-24,Reliance Digital,Ajio,Myntra,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 01:04:32,Monthly,18-24,Reliance Digital,Myntra,Myntra,Zepto,Platform Trust and Security,Somewhat trust them,Flipkart
22/10/2024 01:05:02,Monthly,25-34,Flipkart,Myntra,Flipkart,Zepto,Product Quality,Neutral,Myntra
22/10/2024 01:06:26,weekly,25-34,Reliance Digital,H&M,Myntra,Zepto,Platform Trust and Security,Neutral,Myntra
22/10/2024 01:07:20,weekly,25-34,Flipkart,Flipkart,Myntra,Blinkit,Product Quality,Somewhat trust them,Flipkart
22/10/2024 01:19:37,Daily,18-24,Amazon,Myntra,Nykaa,JioMart,Return/Refund Policy,"Yes, completely trust them",Amazon
22/10/2024 01:24:42,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Flipkart,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 01:25:52,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
22/10/2024 01:26:06,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 01:26:23,Monthly,18-24,Amazon,Myntra,Purplle,Zepto,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 01:26:43,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 01:26:53,Monthly,18-24,None / I don’t buy electronics online,Myntra,Myntra,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
22/10/2024 01:27:02,Monthly,18-24,Reliance Digital,Myntra,Myntra,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Myntra
22/10/2024 01:27:28,Occasionally (once every few months),18-24,Flipkart,Myntra,Nykaa,Blinkit,Platform Trust and Security,Neutral,I don’t use return/refund services
22/10/2024 01:27:54,Occasionally (once every few months),25-34,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
22/10/2024 01:28:36,weekly,18-24,Reliance Digital,Myntra,Nykaa,JioMart,Availability of Offers and Coupons,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 01:29:39,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,Purplle,Blinkit,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 01:30:04,Monthly,18-24,None / I don’t buy electronics online,Myntra,Nykaa,Blinkit,Availability of Offers and Coupons,Neutral,I don’t use return/refund services
22/10/2024 03:58:34,Occasionally (once every few months),18-24,Amazon,Ajio,Amazon,Zepto,Product Quality,Somewhat trust them,Amazon
22/10/2024 04:48:51,weekly,35-44,Amazon,Ajio,Flipkart,Zepto,Product Quality,Neutral,Amazon
22/10/2024 04:57:45,Occasionally (once every few months),35-44,Amazon,Amazon,Amazon,Big Basket,Price and Discounts,Somewhat trust them,Amazon
22/10/2024 05:12:45,Occasionally (once every few months),35-44,Flipkart,Flipkart,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Flipkart
22/10/2024 06:26:13,weekly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,Somewhat trust them,Myntra
22/10/2024 06:30:57,weekly,18-24,Reliance Digital,H&M,Purplle,JioMart,Return/Refund Policy,Somewhat trust them,Flipkart
22/10/2024 06:31:15,weekly,18-24,Flipkart,Ajio,Nykaa,Blinkit,Product Quality,Somewhat trust them,Flipkart
22/10/2024 06:31:33,weekly,35-44,Flipkart,Ajio,Myntra,Zepto,Return/Refund Policy,Neutral,Nykaa
22/10/2024 06:31:53,weekly,18-24,Flipkart,Myntra,Nykaa,Blinkit,Return/Refund Policy,Somewhat trust them,Myntra
22/10/2024 06:32:12,Occasionally (once every few months),35-44,Croma,Amazon,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Myntra
22/10/2024 06:32:33,Monthly,45-54,None / I don’t buy electronics online,Amazon,Flipkart,JioMart,Return/Refund Policy,Neutral,Nykaa
22/10/2024 06:32:50,Occasionally (once every few months),35-44,Croma,Flipkart,Myntra,Zepto,Platform Trust and Security,Neutral,Flipkart
22/10/2024 06:33:07,Monthly,45-54,Reliance Digital,Amazon,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
22/10/2024 06:33:33,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Amazon
22/10/2024 06:35:01,Daily,Under 18,Amazon,Myntra,Nykaa,Zepto,Return/Refund Policy,Neutral,Amazon
22/10/2024 06:35:21,weekly,Under 18,Amazon,Ajio,Myntra,Zepto,Product Quality,Somewhat trust them,Amazon
22/10/2024 06:35:41,Monthly,45-54,Croma,Zara,Myntra,Zepto,Price and Discounts,Somewhat trust them,Flipkart
22/10/2024 06:36:01,Occasionally (once every few months),45-54,None / I don’t buy electronics online,H&M,Flipkart,Zepto,Platform Trust and Security,Somewhat don’t trust them,Ajio
22/10/2024 06:36:27,Occasionally (once every few months),35-44,Croma,Zara,None / I don’t buy fashion items online,JioMart,Platform Trust and Security,Somewhat don’t trust them,Nykaa
22/10/2024 06:36:48,Monthly,35-44,Reliance Digital,Zara,Amazon,JioMart,Platform Trust and Security,Neutral,Myntra
22/10/2024 06:37:09,weekly,18-24,Flipkart,Ajio,Myntra,Zepto,Product Quality,Somewhat trust them,Myntra
22/10/2024 06:37:38,Daily,18-24,Flipkart,Ajio,Flipkart,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Myntra
22/10/2024 06:37:57,Rarely (once or twice a year),35-44,Croma,Zara,Myntra,JioMart,Product Quality,"Yes, completely trust them",Myntra
22/10/2024 06:38:21,Daily,Under 18,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 06:38:56,Daily,18-24,Amazon,Myntra,Flipkart,Zepto,Price and Discounts,Neutral,Nykaa
22/10/2024 06:39:17,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Nykaa
22/10/2024 06:39:40,Rarely (once or twice a year),35-44,Reliance Digital,Flipkart,Flipkart,JioMart,Return/Refund Policy,Neutral,Ajio
22/10/2024 07:04:18,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,Myntra,Zepto,Product Quality,Somewhat trust them,Amazon
22/10/2024 07:04:38,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
22/10/2024 07:05:06,Monthly,18-24,Amazon,Myntra,Nykaa,Zepto,Product Quality,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:05:33,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Flipkart,Myntra,Zepto,Platform Trust and Security,"Yes, completely trust them",I don’t use return/refund services
22/10/2024 07:07:56,Monthly,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:08:26,Occasionally (once every few months),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,Nykaa,JioMart,Platform Trust and Security,Somewhat trust them,I don’t use return/refund services
22/10/2024 07:09:21,Monthly,18-24,Amazon,Myntra,Myntra,Blinkit,Return/Refund Policy,"Yes, completely trust them",I don’t use return/refund services
